,Food product,Food image,Barcode,Barcode image,Nutrition facts per serving (g),,,,,Calories ,Ingredients,Allergens
10,Mi Sedaap - Mi Goreng,product10.jpg,8998866200301(EAN / EAN-13),barcode10.jpg,17,57,9,6,1.17,441,"Wheat flour, water, vegetable oil (contains TBHQ antioxidant), starch acetate emulsifier (contains preservative), salt, vegetable thickener, phosphate stabilizer, acidity regulator, soy lecithin emulsifier, synthetic dye Tartrazine Cl No. 19140, sugar, flavor enhancer (monosodium glutamate), synthetic flavors, onion powder, vegetable protein hydrolyzate, pepper powder, class IV natural caramel coloring, flavor enhancer, vegetable oil, silicon dioxide activate, yeast extract, disodium succinate, vitamin B3, fermented soybeans, chilies, garlic, vinegar, acidity regulator, fried onions (5.56%)","Wheat flour, vegetable protein hydrosilicate, soybeans, milk, shrimp, eggs"
11,Pocky Chocolate - 70g,product11.jpg,8851019210117(EAN / EAN-13),barcode11.jpg,4,15,2,7,0.035,132,"Enriched Flour (Wheat Flour, Ferrous Fumarate, Niacinamide, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Chocolate Liquor, Vegetable Oil (Palm Oil, Sunflower Oil), Whole Milk Powder, Shortening (Palm Oil, Fully Hydrogenated Palm Oil), Contains 1 Percent Or Less Of: Cocoa Butter, Salt, Artificial Flavor, Baker's Yeast, Soy Lecithin, Mono-And Di-Gylcerides, Sodium Bicarbonate.","Milk, Soybeans, and Wheat"
12,teh kotak - 300ml,product12.jpg,8998009040023(EAN / EAN-13),barcode12.jpg,0,26,0,26,0.038,208,"Water, Sugar, Jasmine Tea Leaves, Vitamin C",-
13,Roma Kelapa biskuit - 300g,product13.jpg,"8996001301142(EAN / EAN-13)
",barcode13.jpg,4.5,16,2,5,0.08,132.5,"Wheat flour, sugar, vegetable oil (contains antioxidant BHA), tapioca, whey powder, coconut flour, calcium carbonate, salt, soy lecithin emulsifier, developer, acidity regulator, coconut flavor, vitamin premix (B1, B2, B6, B12) and vitamins E.","Wheat, Soy"
14,Ultra Milk 1 liter,product14.jpg,"8998009010613(EAN / EAN-13)
",barcode14.jpg,8,12,8,10,0.055,192,"Frech milk (100%), Skimmed Milk powder, Vegetable Stabilizers, Salt, No Preservatives",Milk
15,Beng Beng - 20g,product15.jpg,8996001354124(EAN / EAN-13),barcode15.jpg,5,13,1,7,0.040,129,"Cocoa, Sugar, Wheat Flour, Vegetable Fat (contains BHA Antioxidant), Cereals, Milk Powder, Cocoa Mass Maltodextrin, Cocoa Butter, Milk Fat Natural Sweetener Sorbitol, Emulsifier (Soy Lecithin), Vegetable Creamer Developer Salt, Egg Powder, Synthetic Flavors.","Milk, Wheat flour"
16,Bear Brand milk - Nestlé - 189ml,product16.jpg,8992696404441(EAN / EAN-13),barcode16.jpg,7,9,6,9,0.095,159,Fresh milk ,Milk
17,Nutella - Ferrero - 680 g,product17.jpg,8000500220412(EAN / EAN-13),barcode17.jpg,4.6,8.6,0.9,8.4,0.006,113,"Sugar, Vegetable Fat (Palm), Hazelnuts 13%, Skimmed Milk Powder 8.7%, Fat Reduced Cocoa Powder 7.4%, Lecithin (Soy), Flavouring (Vanillin)","Milk, Nuts, Soybeans"
18,Kecap Manis - Bango - 275ml,product18.jpg,8999999002503(EAN / EAN-13),barcode18.jpg,0,15,0,13,0.4,112,"Sugar, water, salt, black soybeans (3%)",Soybeans
19,Indomie Mi Goreng Satay Flavour - 80 g,product19.jpg,0089686140743(EAN / EAN-13),barcode19.jpg,7,27,4,4,0.27,203,"Noodles (Wheat flour 66%, refined palm oil (contains TBHQ (E319)), salt, sodium tripolyphosphate, potassium carbonate, sodium carbonate, guar gum, riboflavin); Seasoning Powder (Sugar, salt, monosodium glutamate, disodium guanylate, disodium inosinate, artificial flavor, yeast extract, garlic powder, onion powder, silicon dioxide, lime flavor, caramel, tartaric acid); Seasoning Oil (refined palm oil (contains TBHQ), peanut, chili, onion, garlic, herbs); Sweet Soy Sauce (Sugar, water, salt, wheat, soy bean, spices, sesame oil); Chili Powder, Fried Onion","Gluten, Peanuts, Sesame seeds, Soybeans"
20,CocaCola Zero - 330ml,product20.jpg,8992761111298(EAN / EAN-13),barcode20.jpg,0,0,0,0,0.03,0,"Carbonated Water, Natural Color Caramel (Class Iv), Acidity Regulators (Phosphoric Acid, Trinatrium Citrate), Artificial Sweeteners (Sucralose, Acesulfam K), Preservatives (Natrium Benzoate), Cola Concentrate, Caffeine.",-
21,Lays - Rasa Rumput Laut (Nori Seaweed Flavour) - 68g,product21.jpg,"0089686596465(EAN / EAN-13)
",barcode21.jpg,7,10,1,0,0.07,107,"Potato (62%), Palm Olein Oil, Seaweed Synthetic Flavor (contains Sucrosay Monosodium Glutamate Flavor Enhancer, Salt, Seaweed, Spices, Guanylate Flavor Enhancer), Seaweed Flakes (0.56%) Allergen Information: contains soybeans, wheat, fish Disodium Inosinate and Disodium INGREDIENTS: Potatoes (62%), Palm Olein Oil, Synthetic Seaweed Sucrose, Flavor Enhancer Flavor (contains MonosodiumGlutamate, Salt, Seaweed, Spices, Flavor Enhancers Disodium Inosinate and Disodium Guanylate), Seaweed Flakes (0.56%)","Soybeans, Gluten, Wheat, Fish"
22,You C1000 Vitamin Lemon - 140 ml,product22.jpg,"8997009510017(EAN / EAN-13)
",barcode22.jpg,0,16,0,16,0.1,128,"Sugar, Fructose, Fruit Juice Less Than 10% Which Comes From Fresh Lemon Juice, Vitamin C (Ascorbic Acid, Sodium Ascorbate), Vitamin B1 (Dibenzoyl Thiamine HCL), Vitamin E (d-α-tocopherol from soybeans), Niacin ( Niacinamide), Lemon Flavor, Acidity Regulator, Benibana (Safflower) Yellow Dye, Water up to 140 ml",Soybeans
23,Floridina Orange - 350ml,product23.jpg,8998866500708(EAN / EAN-13),barcode23.jpg,0,21,0,19,0.025,160,"Water, sugar, fructose syrup, orange concentrate (2%) containing 11% fruit juice, acidity regulator, min C, synthetic orange flavor (contains antioxidant tocopherol), vegetable stabilizer, natural color Beta-carotene (synthetic) CL No . 40800 G contains the antioxidant tocopherol)",-
24,Quaker oat - 200g,product24.jpg,9556174802236(EAN / EAN-13),barcode24.jpg,3.5,24,5,0,0,147.5,Oat (100%),Oat
25,Indomie Goreng - Rendang - 91g,product25.jpg,0089686910704(EAN / EAN-13),barcode25.jpg,16,59,9,9,2.65,452,"Wheat flour, vegetable oil, tapioca shells, salt, stabilizers (vegetables and phosphates), acidity regulators, minerals (iron), antioxidant HQ and synthetic dye tartrazine CI 19140. glutamate, synthetic beef flavor (contains milk); SPICES: Sugar, salt, garlic powder monosodium flavor enhancer, ground pepper, caramel natural coloring and vitamins (A, B1, B6, B12, Niacin, Folic and Pantothenic Acid). CHILLI OIL POWDER: Vegetable oil and rendang seasoning (2%). SWEET ECAP: Sugar, water, soy & wheat, glue, spices, vegetable oils (contains WIR. Contains allergens, see ingredients list in bold. May contain peanuts, shrimp, figs and eggs.","Crustaceans, Gluten, Milk"
26,Ultra Milk Low Fat - 250ml,product26.jpg,"8998009010637(EAN / EAN-13)
",barcode26.jpg,3,8,11,13,0.125,155,"Fresh Cow's Milk, Skimmed Milk Powder, Sucrose, Full Cream Milk Powder, Chocolate Powder, Vegetable Stabilizer, Synthetic Chocolate Flavor (Contains Class IV Caramel Natural Coloring), Salt, No Preservatives, No Artificial Sweeteners, No Synthetic Colorings.",Milk
27,KitKat Chunky - Nestle - 38g,product27.jpg,9556001239754(EAN / EAN-13),barcode27.jpg,10.9,22.4,2.62,16.7,0.064,264.98,"Milk Chocolate (Sugar, Milk Solid (Cow's Milk), Cocoa Butter, Cocoa Mass, Vegetable Dairy Oil (Palm Palm, Hipe, Shea)), Water [Wheat Flour, Icing Sugar, Palm Oil Filled Stearin, Glucose Syrup Powder, Powder ko Garami, Contains Emulsifier (Contains Soya Lecithin) And Stabilizer As A Food Conditioner That Is Justified. Contains Justified Flavors.","Gluten, Milk, Soybeans"
28,Ultra Milk Coklat - 200ml,product28.jpg,8998009010569(EAN / EAN-13),barcode28.jpg,4,24,6,19,0.045,232,"Fresh Sapl Milk, Sucrose, Sklm Milk Powder, Chocolate Powder, Vegetable Stabilizer, Synthetic Chocolate Flavor (Contains Class IV Caramel Natural Coloring), Salt. No preservatives, no artificial sweeteners, no synthetic colors * Contains allergens, see ingredients list in bold. Ingredients: Fresh Milk Sugar, Skim Milk Powder, Cocoa Powder, Vegetable Stabilizer, Chocolate Synthetic Flavor (Contains Natural Color Caramel Class IV), Salt. Contains No Preservatives, No Artificial Sweetener, No Synthetic Color.",Milk
29,INDOCAFE - Coffeemix 3 in 1 - 20 g,product29.jpg,9311931024036(EAN / EAN-13),barcode29.jpg,2,17,1,13,0.01,142,"Non-Diary Creamer, Instant Coffee, May Contain Milk",Milk
30,Yakult - 325ml 5pcs,product30.jpg,8992994110112(EAN / EAN-13),barcode30.jpg,0,11,1,10,0.01,88,"Bacteria Lactobacillus casei Shirota live strain, Skimmed milk powder, Sucrose and Glucose, Flavors, Water",Mlik
31,Nabati Wafer Coklat - Richoco - 52g,product31.jpg,8993175535885(EAN / EAN-13),barcode31.jpg,2,6,1,2,0.02,54,"Wheat Floour, Sugar, Vegetable Oil (Contain Antioxidant TBHQ), Cocoa Powder 17,9%, Whey Powder, Emulsifier Soy Lecithin, Leavening Agent Sodium Bicarbonate, Vitamin (A, B2, B12, E)","Gluten, Milk"
32,Nabati Bites Cheese Cream Wafer - 287g,product32.jpg,"8993175535250(EAN / EAN-13)

",barcode32.jpg,2.5,11,1,5,0.065,90.5,"Wheat Flour, Sugar, Vegetable Oil (contains Antioxidant TBHQ), Whey Powder, Cheese Powder-3% (contains Flavour Enhancer Monosodium Glutamate and Disodium-5'ribonucleotides, Synthetic Colour (Ponceau 4R CI 16255 and Sunset Yellow FCF CI 15985)), Corn Starch, Salt, Emulsifier Soy Lecithin, Raising Agent, Flavour Enchancer Monosodium Glutamate, Vitamin (A, B1, B2, B6, B12), Synthetic Colour Sunset Yellow FCF CI 15985","Gluten, Milk"
33,ENERGEN SUSU - 32 g,product33.jpg,"8996001440124(EAN / EAN-13)
",barcode33.jpg,4,25,2,15,0.15,204,"Sugar, Vegetable Creamer, Wheat Flour (9.63%), Powdered Milk (9.5%), Corn, Oats (1.88%), Baram Calcium Abonate, Vegetable Emulsifier (Soy Lecithin), Vitamin Premix (A, B1 , B2, B6, Folic Acid, B12, D, and E), 05%), Sodium Ascorbate (Vitamin C), Egg Powder (0.01%), Malt Extract (0.01%).","Eggs, Gluten, Milk, Soybeans"
34,Cadbury Dairy Milk Fruit & Nut - 62 g,product34.jpg,"7622210086693(EAN / EAN-13)
",barcode34.jpg,0,18,2,14,0.015,136,"Sugar, Milk, Cocoa Malt, Almond nut, Soy lecithin, PGPR, Flavour chocolate.","Milk, Nut, Soy"
35,Real Good Uht Coklat - 125ML,product35.jpg,8993351160757(EAN / EAN-13),barcode35.jpg,3.12,21.2,3.75,16.2,0.069,192.68,-,-
36,Taro Net Seawed - 62gr,product36.jpg,"8997032680275(EAN / EAN-13)
",barcode36.jpg,3,14,1,1,0.28,91,"Wheat flour, Vegetable oil, Tapioca starch, Synthetic Seaweed Flavour (contains Flavour Enhancer Disodium Inosinate and Guanylate, Monosodium Glutamate), Sugar, Slat, Baking Powder",Wheat flour
37,Fitbar Multigrain Fruits Delight - 24g,product37.jpg,8992802063012(EAN / EAN-13),barcode37.jpg,2.5,25,3,4,0.035,150.5,"White Chocolate Compound Coating (Sugar, Vegetable Fat Milk Powder, Emulsiher (E322), Rice Crispy (19.7%), Oats (12%), Raisin (10.8%), Glucose Syrup Whole Wheat Flour (5.6%), Soy Puff, High Fructose Syrup, Margarine, Sucrose, Natural Sweetener Isomalt, Vegetable Humectant Glycerine, Natural Sweetener Maltitol, Quînoa Powder (1%), Inulin, Skim Mik Powder, Natural Identical Raspbery Flavor, Emulsifier Soy Lecithine, Salt, Antioxidant Tocopherol and Ascorbyl Palmitate, Calcium Carbonate, Sodium Ascorbate, Vitamin A, Vitamin B12.","Gluten, Milk, Soybeans"
38,Chocolatos Drink- Garudafood - 27g,product38.jpg,8992775913000(EAN / EAN-13),barcode38.jpg,1,17,1,12,0.085,129,"Sugar, Dextrose Monohydrate, Cocoa Powder (20%), Whey Powder, Non Dairy Creamer, Full Cream Milk Powder, Malt Extract, Vegetable Thickener, Salt, Flavour Synthetic (Vanilla, Italian Chocolate) Natural Milk Flavor.",Milk
39,Youghurt drink mix fruit - Cimory - 240 ml,product39.jpg,"8993200661350(EAN / EAN-13)

",barcode39.jpg,3,37,3,25,0,287,"Fresh cow's milk, water, sugar, vegetable stabilizer, streptococcus thremophilus culture, and Lactobacillus delbrueckii subsp bulgaricus",Milk
40,Greenfields Chocolate UHT Milk  - 105ml,product40.jpg,8993351122946(EAN / EAN-13),barcode40.jpg,2,12,3,10,0.03,118,"Fresh milk-51%, water, sugar, skimmed milk powder, cocoa powder-0.7%, stabilizer ( vegetable, phosphate), vegetable emulfsifier, synthetic flavor, salt, vitamin premix.",Milk
41,Tango Milky Chocolate - 110g,product41.jpg,8991102260732(EAN / EAN-13),barcode41.jpg,10.5,4.9,0.35,2.1,0,123.9,Wheat Flour Sugar Vegetable Oil (Contains Antioxidants Tbhq) Vegetable Bread Fat (Contains Antioxidants Ascorbyl Palmitate & Tocopherol) Maltodextrin Cocoa Powder (3.1%) Calcium Carbonate Full Cream Milk Powder (1.5%) Emulsifier Soya Letsin Salt Skimmed Milk Powder (0.2%) Cocoa Mass (0.15%) Malt Extract Potato Starch Synthetic Flavor Developer (Contains Antioxidant Dl-Alpha Tocopherol) Natural Flavor Egg Flour,"Mlik, Soybeans, Nuts"
42,Granova Nuts & Chocolate Sea Salt - 26g,product42.jpg,8997217870187(EAN / EAN-13),barcode42.jpg,9,12,4,7,0.038,173,"Almonds, cashews, honey, walnuts, chocolate, rice syrup, rice cereal, sea salt, soy lecithin.","Nuts, Soy"
43,Calbee Protein - カルビー,product43.jpg,4901330747756(EAN / EAN-13),barcode43.jpg,12.5,31.5,12.1,23.1,0,379.3,"black and green soybeans, crushed almonds, and pieces of crunchy whey protein chocolate, protein, vitamins, minerals and dietary fiber.","Nuts, Soybeans"
44,Hilo Chocolate - 14g,product44.jpg,0749921030146(EAN / EAN-13),barcode44.jpg,1.5,11,1,8,0.02,93.5,"Granulated sugar, vegetable creamer, whey powder, cocoa powder (21.43%), calcium carbonate mineral, synthetic flavors, artificial sweeteners, NaCl salt, vitamin premix","Mlik, Gluten, Whey"
45,Oatside Oat Milk Barista Blend - 200ml,product45.jpg,8997240600393(EAN / EAN-13),barcode45.jpg,6,16,1,6,0.8,146,"Water, Oat Powder (10%), Canola Oil, Phosphate Stabilizer, Calcium Carbonate Stabilizer, Salt.","Gluten, Soy"
46,Chocolatos wafer,product46.jpg,8992775311981(EAN / EAN-13),barcode46.jpg,1.5,4,0,2,0,37.5,"Sugar, wheat flour, vegetable oil, cocoa powder, dextrose monohydrate, milk powder, whey powder, bread fat, tapioca flour, vegetable emulsifier, class IV caramel food coloring, salt, artificial vanilla flavor.",Whey
47,Sari Roti - Sobek Dup Cokelat Keju - 53g,product47.jpg,8992907996413(EAN / EAN-13),barcode47.jpg,6,26,4,10,0,214,"Wheat flour (contains gluten), Water, Chocolate paste (8.4%) (contains milk, cocoa powder (1.3%), antioxidant tocopherol), Sugar, Cheese paste (6.7%) (contains milk, cheese cheddar (2.8%), preservative potassium sorbate, nisin), Eggs, Emulsifier (contains milk, antioxidant ascorbic acid), Margarine (contains antioxidants (ascorby palmitate, tocopherol), Coloring natural (beta-carotene (synthetic) CI 40800), Yeast, Butter oil substitute (contains antioxidants (ascorbyl palmitate, tocopherol, BHA), natural coloring beta-carotene (synthetic) CI 40800), Preservative calcium propionate","Wheat flour, gluten, chocolate paste, milk, cheese paste and eggs."
48,Kukis Kelapa coconut cookies - Denex biscuits - 300g,product48.jpg,8993083940023(EAN / EAN-13),barcode48.jpg,3.5,14,1,4,0.07,107.5,"Wheat Flour (49.2%), Sugar, Vegetable Oil (contains antioxidant TBHQ), Desiccated Coconut (4.59%), Leavening Agents (Ammonium Hydrogen Carbonate, Sodium Hydrogen Carbonate), Skimmed Milk Powder, Salt, Synthetic Flavors (Coconut, Vanilla), contains allergens.","Wheat Flour, Milk"
49,Pie Bis - Monde - 40g,product49.jpg,8888166343405(EAN / EAN-13),barcode49.jpg,6,21,2,7,0.125,174,"Wheat Flour, Sugar, Baker's Fat (contains Antioxidant BHA), Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Salt, Soy Lecithin Emulsifier, Artificial Almond Flavor.",Wheat Flour
50,Uleg Sambal Teri - Finna Food - 1 and 15g,product50.jpg,8991818801076(EAN / EAN-13),barcode50.jpg,1.5,3,1,0,0.15,29.5,"Chili-38.90%, Sugar, Vegetable Oil, Anchovy-13.10%, Water, Salt, Shallot-2.30%, Garlic-2.30%, Vegetable Thickener, Balacan, Acidity Regulator, Flavor Enchancer (Monosodium L-Glutamate, Disodium 5-Ribonucleotides), Preservatives (Potassium Sorbate and Sodium Benzoate)","Fish, Balacan"
51,Diamond Fresh Milk - 1L,product51.jpg,8999898299035(EAN / EAN-13,barcode51.jpg,8,9,6,7,0.09,160,Fresh Milk,Milk
52,Greenfields Chocolate UHT Milk - Greenfields Indonesia - 105ml,product52.jpg,8993351122946(EAN / EAN-13),barcode52.jpg,2,12,3,10,0.03,118,"Fresh milk-51%, water, sugar, skimmed milk powder, cocoa powder-0.7%, stabilizer ( vegetable, phosphate), vegetable emulfsifier, synthetic flavor, salt, vitamin premix.",Milk
53,Treasures Milk - Delfi - 36 g,product53.jpg,8991001122377(EAN / EAN-13),barcode53.jpg,32.6,56.4,0,45.3,0.02,700.2,"Sugar Cocoa Solids 27% (Cocoa Butter, Cocoa Mass), Full Cream Milk Powder (26%), Vegetable Fat (Non-hydrogenated Palm Oil, Sunflower Oil; contains Antioxiden INS 3076: Mixed Tocopherol Concentrate) Anhydrous Mill Fat, Emulsifier (INS 3220): Soy Lecithin), Natural Flavour, Contains allergens, see ingredients in boy. Manufactured on shared equipment that processes Peanuts, Tree Nuts, Soy and Wheat. For Brunei-Additives origin: plant and chemical","Gluten, Milk, Nuts, Soybeans"
54,Fanta,product54.jpg,6926347298259(EAN / EAN-13),barcode54.jpg,0,12,0,0,0,48,"Carbonated Water, Sugar, Acidity Regulator (Citric Acid), Artificial Flavoring, Artificial Sweeteners (Acesulfame-K, Sucralose), Preservative (Sodium Benzoate), Artificial Colorings (Carmoisine CI No. 14720 & Sunset Yellow FCF CI 15985), contains artificial sweeteners, not recommended for children under 5 years old. Manufactured under the authority of The Coca-Cola Company. Strawberry Powder (0.005%).",-
55,Richese Nabati,product55.jpg,8993175537285(EAN / EAN-13),barcode55.jpg,2.5,11,1,5,65,90.5,"Wheat flour, sugar, vegetable oil (contains antioxidant TBHQ), maltodextrin, whey powder, cheese powder (contains flavor enhancer and synthetic colorant), soy lecithin emulsifier, salt, developer, vitamins (A, B1, B2, B6, B12).","Whey powder, Cheese Powder, Egg, Soy, Hazelnut, Peanut"
56,Anlene ACTIFIT 3X Cokelat - Fonterra - 240g,product56.jpg,9415007009801(EAN / EAN-13),barcode56.jpg,3,26,7,19,0.1,235,"Milk solids (63%), Sucrose, Maltodextrin, Cocoa powder (5%), Tricalcium phosphate, Calcium carbonate, Mineral premix, Collagen (fish), Synthetic flavor, Vitamin premix, Artificial sweetener sucralose.",Fish
57,Milku Strawberry 200ml,product57.jpg,8998866202732(EAN / EAN-13),barcode57.jpg,4,22,6,22,0.13,236,"Water, milk powder (8%), sugar, skim milk powder, vegetable and phosphate stabilizers, synthetic flavors, vegetable emulsifiers and acidity regulator. ","Milk powder, Skim milk powder"
58,Sari Roti Sandwich Pandan Sarikaya - 45g,product58.jpg,8992907952594(EAN / EAN-13),barcode58.jpg,2.5,19,3,4,0.16,126.5,"Wheat flour, water, sarikaya jam, granuled sugar, fat spread, emulsifier, salt, filled milk, preservative calcium propionate, pandan flavour, synthetic colourant","Gluten, Egg, Emulsifier, Milk"
59,Buavita Orange Juice 250ml,product59.jpg,8998009042195(EAN / EAN-13),barcode59.jpg,0,33,0,20,0.138,212,"Water, citrus fruit, sucrose, vegetable stabilizer, citric acid acidity regulator, orange flavor, natural color carotene, vitamin C, vitamin A",-
60,ABC KECAP MANIS - 75g,product60.jpg,0711844110182(EAN / EAN-13),barcode60.jpg,0,10,0,8,0.28,72,"Sugar (76%), Water, Salt, Soybean (2.1%), Wheat, Preservative (Sodium Benzoate).","Gluten, Soybeans"
61,Super bubur ayam,product61.jpg,8996001524008(EAN / EAN-13),barcode61.jpg,5,32,3,2,0.84,193,"Rice, Crackers (contains Flavor Enhancer Monosodium L-glutamate, Raising Agent, Synthetic Color Sunset Yellow FCF CI. No. 15985), Chili Sauce (contains Preservative Sodium Benzoate, Potassium Sorbate, Synthetic Color Ponceau 4R Cl. No. 16255 and Synthetic Color Sunset Yellow FCF CI. No. 15985), Tapioca Starch, Salty Soy Sauce (contains Preservative Sodium Benzoate, Flavor Enhancer Monosodium L-glutamate, Disodium 5'-ribonucleotide), Maltodextrin, Fried Onion, Texturized Vegetable Protein, Salt, Flavor Enhancer (Monosodium L-glutamate, Disodium 5'-ribonucleotide), Yeast Extract, Synthetic Chicken Flavor, Vegetable Oil (contains TBHQ Antioxidant), Dried Vegetable (Leek), Garlic Powder, Pepper Powder, Vitamin (A, B1, B2, B6, B12)",Soybeans
62,ABC kopi susu - 31g,product62.jpg,"8991002101630(EAN / EAN-13)
",barcode62.jpg,2,26,1,20,0.01,206,"Sugar, non dairy creamer, ground coffee, milk powder","Milk, Milk powder"
63,Soda water drink - Fanta - 250 ml,product63.jpg,8992761145118(EAN / EAN-13),barcode63.jpg,0,0,0,0,0.06,0,"Carbonated water, acidity regulators (sodium bicarbonate, sodium citrate, calcium lactate), sodium chloride",-
64,Good Day Mocacinno,product64.jpg,"8991002103238(EAN / EAN-13)
",barcode64.jpg,2,16,1,13,0.01,138,"Sugar, Non dairy creamer, Instant coffee, Cocoa powder, Synthetic flavor mocacinno, Natural sweetener steviol glycosides",Non dairy creamer
65,Pop Mie Soto Ayam - 75g,product65.jpg,0089686060362(EAN / EAN-13),barcode65.jpg,16,45,8,6,0.96,380,"Wheat Flour, vegetable oil, tapioca starch, salt, emulsifiers (vegetable and phosphate, containing soy) stabilizers (vegetable and phosphate), acidity regulator, antioxidant TBHQ and synthetic colorant tartazine CI 19140. FOODS: Salt, sugar, TVP, dried vegetables, flavor enhancers (mononatrium glutamate, dinatrium inosinate and guanylate), chicken synthetic flavor (contains egg and milk), garlic powder, onion powder, pepper powder and celery powder. CHILI POWDER SEASONING OIL: Vegetable oil and soup seasoning. KOYA POWDER (contains crustaceans and natural coloring caramel I).","Eggs, Fish, Milk, Nuts, Soybeans"
